Wavelength	Blue	Green	Red	NIR
400	0	0	0	0
401	0	0	0	0
402	0	0	0	0
403	0	0	0	0
404	0	0	0	0
405	0	0	0	0
406	0	0	0	0
407	0.00117275075144649	0	0	0
408	0.00139274808366555	0	0	0
409	0.00165034969031523	0	0	0
410	0.00195126358296123	0	0	0
411	0.00230193183575621	0	0	0
412	0.00270960219873483	0	0	0
413	0.00318240295920237	0	0	0
414	0.00372942055343	0	0	0
415	0.00436077929590484	0	0	0
416	0.00508772244671129	0	0	0
417	0.00592269368035516	0	0	0
418	0.00687941785304415	0	0	0
419	0.00797297979215237	0	0	0
420	0.00921989965387977	0	0	0
421	0.0106382032160595	0	0	0
422	0.0122474852962916	0	0	0
423	0.0140689643152516	0	0	0
424	0.0161255258657919	0	0	0
425	0.0184417530054618	0	0	0
426	0.0210439408688332	0	0	0
427	0.0239600931023888	0	0	0
428	0.0272198975647677	0	0	0
429	0.0308546787150097	0	0	0
430	0.0348973241371916	0	0	0
431	0.0393821827273573	0	0	0
432	0.0443449322033636	0	0	0
433	0.0498224137950311	0	0	0
434	0.0558524322348375	0	0	0
435	0.0624735195013058	0	0	0
436	0.0697246611699953	0	0	0
437	0.0776449847009071	0	0	0
438	0.0862734095348686	0	0	0
439	0.0956482594819565	0	0	0
440	0.105806838557231	0	0	0
441	0.116784972145928	0	0	0
442	0.128616516152668	0	0	0
443	0.141332837595988	0	0	0
444	0.154962270937371	0	0	0
445	0.169529555267834	0	0	0
446	0.18505525829821	0	0	0
447	0.201555193893313	0	0	0
448	0.219039840635753	0	0	0
449	0.237513769582163	0	0	0
450	0.256975089962634	0	0	0
451	0.277414922052863	0	0	0
452	0.298816906798469	0	0	0
453	0.321156761973825	0	0	0
454	0.344401894697208	0	0	0
455	0.368511079986059	0	0	0
456	0.393434214709663	0	0	0
457	0.419112155774103	0	0	0
458	0.445476650652161	0	0	0
459	0.472450367449785	0	0	0
460	0.49994703058593	0	0	0
461	0.527871666864207	0	0	0
462	0.556120965247641	0	0	0
463	0.584583752031695	0	0	0
464	0.613141581369785	0	0	0
465	0.641669439268356	0	0	0
466	0.670036557267376	0.00110688543171199	0	0
467	0.698107330092519	0.00127837884483122	0	0
468	0.725742329644955	0.00147416949795159	0	0
469	0.752799405823451	0.001697329693754	0	0
470	0.779134862891365	0.00195126358296123	0	0
471	0.804604698448423	0.00223973487106974	0	0
472	0.829065890582451	0.00256689572311611	0	0
473	0.85237771749629	0.00293731675935971	0	0
474	0.87440309286303	0.00335601800625412	0	0
475	0.895009899387764	0.00382850063614781	0	0
476	0.9140723025702	0.00436077929590485	0	0
477	0.931472026488109	0.00495941478922276	0	0
478	0.947099573568398	0.00563154684006384	0	0
479	0.960855370785726	0.00638492662558276	0	0
480	0.972650825525669	0.00722794872657244	0	0
481	0.982409275461076	0.00816968210217298	0	0
482	0.99006681819975	0.00921989965387978	0	0
483	0.995573008145246	0.0103891059023046	0	0
484	0.99889140994048	0.0116885622593139	0	0
485	1	0.0131303093387948	0	0
486	0.99889140994048	0.0147271857121476	0	0
487	0.995573008145246	0.0164928424804984	0	0
488	0.99006681819975	0.0184417530054618	0	0
489	0.982409275461076	0.0205892171149814	0	0
490	0.972650825525669	0.0229513590813049	0	0
491	0.960855370785726	0.0255451186555074	0	0
492	0.947099573568398	0.0283882344381392	0	0
493	0.931472026488109	0.0314992188695526	0	0
494	0.9140723025702	0.0348973241371916	0	0
495	0.895009899387764	0.0386024983215346	0	0
496	0.87440309286303	0.0426353311382976	0	0
497	0.85237771749629	0.047016988682674	0	0
498	0.829065890582451	0.0517691366424464	0	0
499	0.804604698448423	0.056913851521239	0	0
500	0.779134862891365	0.0624735195013058	0	0
501	0.752799405823451	0.0684707226772186	0	0
