Wavelength	CoastalAerosol	Blue	Green	Red	NIR	Cirrus	SWIR1	SWIR2	Pan
551	0	0	0.97657537	0	0	0	0	0	0.74397302
552	0	0	0.98478532	0	0	0	0	0	0.76320368
553	0	0	0.9922418	0	0	0	0	0	0.78191006
554	0	0	0.99788576	0	0	0	0	0	0.79408318
555	0	0	0.99755067	0	0	0	0	0	0.79531306
556	0	0	0.99513662	0	0	0	0	0	0.79247105
557	0	0	0.99290431	0	0	0	0	0	0.78975105
558	0	0	0.99221069	0	0	0	0	0	0.79136306
559	0	0	0.99147564	0	0	0	0	0	0.79676938
560	0	0	0.99039567	0	0	0	0	0	0.80500394
561	0	0	0.98744887	0	0	0	0	0	0.81197274
562	0	0	0.98513204	0	0	0	0	0	0.81878418
563	0	0	0.98482645	0	0	0	0	0	0.82147866
564	0	0	0.98690718	0	0	0	0	0	0.81793523
565	0	0	0.99114877	0	0	0	0	0	0.80917293
566	0	0	0.99476624	0	0	0	0	0	0.79949307
567	0	0	0.99384189	0	0	0	0	0	0.79439282
568	0	0	0.99101716	0	0	0	0	0	0.79288369
569	0	0	0.98722148	0	0	0	0	0	0.80010444
570	0	0	0.9837451	0	0	0	0	0	0.80942148
571	0	0	0.9834832	0	0	0	0	0	0.81826901
572	0	0	0.98670214	0	0	0	0	0	0.82481748
573	0	0	0.99195403	0	0	0	0	0	0.82645559
574	0	0	0.9963057	0	0	0	0	0	0.82283205
575	0	0	0.99934655	0	0	0	0	0	0.81772399
576	0	0	1	0	0	0	0	0	0.81348199
577	0	0	0.99947429	0	0	0	0	0	0.81432569
578	0	0	0.99812734	0	0	0	0	0	0.81980091
579	0	0	0.99595124	0	0	0	0	0	0.82896656
580	0	0	0.98932058	0	0	0	0	0	0.83787513
581	0	0	0.97415423	0	0	0	0	0	0.84118545
582	0	0	0.9492411	0	0	0	0	0	0.83640194
583	0	0	0.93502551	0	0	0	0	0	0.82991207
584	0	0	0.92853642	0	0	0	0	0	0.82210898
585	0	0	0.93185908	0	0	0	0	0	0.81671482
586	0	0	0.92724669	0	0	0	0	0	0.81798512
587	0	0	0.86449587	0	0	0	0	0	0.82558936
588	0	0	0.71098262	0	0	0	0	0	0.8370055
589	0	0	0.51626664	0	0	0	0	0	0.84746104
590	0	0	0.34508252	0	0	0	0	0	0.85366464
591	0	0	0.21616927	0	0	0	0	0	0.8550694
592	0	0	0.12075645	0	0	0	0	0	0.85333455
593	0	0	0.05834393	0	0	0	0	0	0.85258639
594	0	0	0.0269463	0	0	0	0	0	0.85494232
595	0	0	0.01243138	0	0	0	0	0	0.86125129
596	0	0	0.00607649	0	0	0	0	0	0.87052053
597	0	0	0.00376825	0	0	0	0	0	0.87891728
598	0	0	0.00202133	0	0	0	0	0	0.8835094
599	0	0	0.00115144	0	0	0	0	0	0.88422352
600	0	0	0.00069334	0	0	0	0	0	0.8804276
601	0	0	0.00044097	0	0	0	0	0	0.87636942
602	0	0	0.00029608	0	0	0	0	0	0.87454921
603	0	0	0.00021146	0	0	0	0	0	0.87427628
604	0	0	0.0001599	0	0	0	0	0	0.87942135
605	0	0	0.00012726	0	0	0	0	0	0.88424522
606	0	0	0.00010823	0	0	0	0	0	0.88828981
607	0	0	0.00009787	0	0	0	0	0	0.89149511
608	0	0	0.0000954	0	0	0	0	0	0.88984776
609	0	0	0.00010035	0	0	0	0	0	0.88692278
610	0	0	0.00011262	0	0	0	0	0	0.88409555
611	0	0	0	0	0	0	0	0	0.8844744
612	0	0	0	0	0	0	0	0	0.88792205
613	0	0	0	0	0	0	0	0	0.89509708
614	0	0	0	0	0	0	0	0	0.90393478
615	0	0	0	0	0	0	0	0	0.91256452
616	0	0	0	0	0	0	0	0	0.91933519
617	0	0	0	0	0	0	0	0	0.92318392
618	0	0	0	0	0	0	0	0	0.92334908
619	0	0	0	0	0	0	0	0	0.92322367
620	0	0	0	0	0	0	0	0	0.92271727
621	0	0	0	0	0	0	0	0	0.92207175
622	0	0	0	0	0	0	0	0	0.92361712
623	0	0	0	0	0	0	0	0	0.92525572
624	0	0	0	0	0	0	0	0	0.9287647
625	0	0	0	0.00052217	0	0	0	0	0.93246269
626	0	0	0	0.00080255	0	0	0	0	0.93536609
627	0	0	0	0.00127569	0	0	0	0	0.93693691
628	0	0	0	0.00211028	0	0	0	0	0.93770206
629	0	0	0	0.00370259	0	0	0	0	0.93660849
630	0	0	0	0.00813655	0	0	0	0	0.93482065
631	0	0	0	0.01448322	0	0	0	0	0.93340796
632	0	0	0	0.02730471	0	0	0	0	0.93537968
633	0	0	0	0.06150362	0	0	0	0	0.93697798
634	0	0	0	0.12960456	0	0	0	0	0.94104928
635	0	0	0	0.27599216	0	0	0	0	0.94614661
636	0	0	0	0.50833505	0	0	0	0	0.95185488
637	0	0	0	0.77823377	0	0	0	0	0.95627266
638	0	0	0	0.93229699	0	0	0	0	0.95843077
639	0	0	0	0.96630949	0	0	0	0	0.95736688
640	0	0	0	0.98264039	0	0	0	0	0.95565981
641	0	0	0	0.98610568	0	0	0	0	0.95283598
642	0	0	0	0.98616272	0	0	0	0	0.95041174
643	0	0	0	0.98130625	0	0	0	0	0.94886798
644	0	0	0	0.97365528	0	0	0	0	0.94887251
645	0	0	0	0.96917254	0	0	0	0	0.95064622
646	0	0	0	0.97131443	0	0	0	0	0.95328224
647	0	0	0	0.98079836	0	0	0	0	0.95691651
648	0	0	0	0.99271876	0	0	0	0	0.9610467
649	0	0	0	1	0	0	0	0	0.96566254
650	0	0	0	0.99686712	0	0	0	0	0.96974039
651	0	0	0	0.98542011	0	0	0	0	0.97312099
652	0	0	0	0.97099334	0	0	0	0	0.97521871
653	0	0	0	0.96106452	0	0	0	0	0.97489649
654	0	0	0	0.96065092	0	0	0	0	0.972332
655	0	0	0	0.96868747	0	0	0	0	0.96867853
656	0	0	0	0.98070163	0	0	0	0	0.96464068
657	0	0	0	0.98551208	0	0	0	0	0.96061975
658	0	0	0	0.98893887	0	0	0	0	0.96397477
659	0	0	0	0.98082989	0	0	0	0	0.96756929
660	0	0	0	0.96791947	0	0	0	0	0.97273779
661	0	0	0	0.96308017	0	0	0	0	0.98216408
662	0	0	0	0.9632839	0	0	0	0	0.9869532
663	0	0	0	0.97127014	0	0	0	0	0.98877376
664	0	0	0	0.98161477	0	0	0	0	0.98864222
665	0	0	0	0.98756588	0	0	0	0	0.98769355
666	0	0	0	0.98632258	0	0	0	0	0.98701572
667	0	0	0	0.98053038	0	0	0	0	0.98726958
668	0	0	0	0.9798553	0	0	0	0	0.99141115
669	0	0	0	0.98061383	0	0	0	0	0.99577439
670	0	0	0	0.96493137	0	0	0	0	1
671	0	0	0	0.85955077	0	0	0	0	0.99740297
672	0	0	0	0.66807359	0	0	0	0	0.98136055
673	0	0	0	0.41698042	0	0	0	0	0.92713571
674	0	0	0	0.21568851	0	0	0	0	0.79344761
675	0	0	0	0.10535625	0	0	0	0	0.593741
676	0	0	0	0.05208358	0	0	0	0	0.38244858
677	0	0	0	0.02525648	0	0	0	0	0.22371659
678	0	0	0	0.01293051	0	0	0	0	0.13053322
679	0	0	0	0.0067002	0	0	0	0	0.07709492
680	0	0	0	0.00366779	0	0	0	0	0.04784917
681	0	0	0	0.00210889	0	0	0	0	0.03124457
682	0	0	0	0.00125278	0	0	0	0	0.02128481
683	0	0	0	0.00098495	0	0	0	0	0.01692485
684	0	0	0	0.00070233	0	0	0	0	0.01253418
685	0	0	0	0.00054765	0	0	0	0	0.00931615
686	0	0	0	0.00040268	0	0	0	0	0.00690109
687	0	0	0	0.00034113	0	0	0	0	0.00516988
688	0	0	0	0.00027893	0	0	0	0	0.00380522
689	0	0	0	0.00026856	0	0	0	0	0.00285749
690	0	0	0	0.00016362	0	0	0	0	0.00203169
691	0	0	0	0.00013298	0	0	0	0	0.00146685
692	0	0	0	0	0	0	0	0	0.00104939
693	0	0	0	0	0	0	0	0	0
694	0	0	0	0	0	0	0	0	0
695	0	0	0	0	0	0	0	0	0
696	0	0	0	0	0	0	0	0	0
697	0	0	0	0	0	0	0	0	0
698	0	0	0	0	0	0	0	0	0
699	0	0	0	0	0	0	0	0	0
700	0	0	0	0	0	0	0	0	0
701	0	0	0	0	0	0	0	0	0
702	0	0	0	0	0	0	0	0	0
703	0	0	0	0	0	0	0	0	0
704	0	0	0	0	0	0	0	0	0
705	0	0	0	0	0	0	0	0	0
706	0	0	0	0	0	0	0	0	0
707	0	0	0	0	0	0	0	0	0
708	0	0	0	0	0	0	0	0	0
709	0	0	0	0	0	0	0	0	0
710	0	0	0	0	0	0	0	0	0
711	0	0	0	0	0	0	0	0	0
712	0	0	0	0	0	0	0	0	0
713	0	0	0	0	0	0	0	0	0
714	0	0	0	0	0	0	0	0	0
715	0	0	0	0	0	0	0	0	0
716	0	0	0	0	0	0	0	0	0
717	0	0	0	0	0	0	0	0	0
718	0	0	0	0	0	0	0	0	0
719	0	0	0	0	0	0	0	0	0
720	0	0	0	0	0	0	0	0	0
721	0	0	0	0	0	0	0	0	0
722	0	0	0	0	0	0	0	0	0
723	0	0	0	0	0	0	0	0	0
724	0	0	0	0	0	0	0	0	0
725	0	0	0	0	0	0	0	0	0
726	0	0	0	0	0	0	0	0	0
727	0	0	0	0	0	0	0	0	0
728	0	0	0	0	0	0	0	0	0
729	0	0	0	0	0	0	0	0	0
730	0	0	0	0	0	0	0	0	0
731	0	0	0	0	0	0	0	0	0
732	0	0	0	0	0	0	0	0	0
733	0	0	0	0	0	0	0	0	0
734	0	0	0	0	0	0	0	0	0
735	0	0	0	0	0	0	0	0	0
736	0	0	0	0	0	0	0	0	0
737	0	0	0	0	0	0	0	0	0
738	0	0	0	0	0	0	0	0	0
739	0	0	0	0	0	0	0	0	0
740	0	0	0	0	0	0	0	0	0
741	0	0	0	0	0	0	0	0	0
742	0	0	0	0	0	0	0	0	0
743	0	0	0	0	0	0	0	0	0
744	0	0	0	0	0	0	0	0	0
745	0	0	0	0	0	0	0	0	0
746	0	0	0	0	0	0	0	0	0
747	0	0	0	0	0	0	0	0	0
748	0	0	0	0	0	0	0	0	0
749	0	0	0	0	0	0	0	0	0
750	0	0	0	0	0	0	0	0	0
751	0	0	0	0	0	0	0	0	0
752	0	0	0	0	0	0	0	0	0
753	0	0	0	0	0	0	0	0	0
754	0	0	0	0	0	0	0	0	0
755	0	0	0	0	0	0	0	0	0
756	0	0	0	0	0	0	0	0	0
757	0	0	0	0	0	0	0	0	0
758	0	0	0	0	0	0	0	0	0
759	0	0	0	0	0	0	0	0	0
760	0	0	0	0	0	0	0	0	0
761	0	0	0	0	0	0	0	0	0
762	0	0	0	0	0	0	0	0	0
763	0	0	0	0	0	0	0	0	0
764	0	0	0	0	0	0	0	0	0
765	0	0	0	0	0	0	0	0	0
766	0	0	0	0	0	0	0	0	0
767	0	0	0	0	0	0	0	0	0
768	0	0	0	0	0	0	0	0	0
769	0	0	0	0	0	0	0	0	0
770	0	0	0	0	0	0	0	0	0
771	0	0	0	0	0	0	0	0	0
772	0	0	0	0	0	0	0	0	0
773	0	0	0	0	0	0	0	0	0
774	0	0	0	0	0	0	0	0	0
775	0	0	0	0	0	0	0	0	0
776	0	0	0	0	0	0	0	0	0
777	0	0	0	0	0	0	0	0	0
778	0	0	0	0	0	0	0	0	0
779	0	0	0	0	0	0	0	0	0
780	0	0	0	0	0	0	0	0	0
781	0	0	0	0	0	0	0	0	0
782	0	0	0	0	0	0	0	0	0
783	0	0	0	0	0	0	0	0	0
784	0	0	0	0	0	0	0	0	0
