SR_WL	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12
0.625	0	0	0	0	0.98524796	0.97596584	0	0	0	0	0	0
0.6275	0	0	0	0	0.92010247	0.96940299	0	0	0	0	0	0
0.63	0	0	0	0	0.90906951	0.91204045	0	0	0	0	0	0
0.6325	0	0	0	0	0.93712807	0.89971054	0	0	0	0	0	0
0.635	0	0	0	0	0.94546432	0.90945188	0	0	0	0	0	0
0.6375	0	0	0	0	0.56797685	0.76854501	0.00176735	0	0	0	0	0
0.64	0	0	0	0	0.0666782	0.21530295	0.00188891	0	0	0	0	0
0.6425	0	0	0	0	0.00214277	0.00583019	0.00188274	0	0	0	0	0
0.645	0	0	0	0	0.00068911	0.0009695	0.00216869	0	0	0	0	0
0.6475	0	0	0	0	0	0	0.00297732	0	0	0	0	0
0.65	0	0	0	0	0	0	0.0202512	0	0	0	0	0
0.6525	0	0	0	0	0	0	0.41133905	0	0	0	0	0
0.655	0	0	0	0	0	0	0.92606858	0	0	0	0	0
0.6575	0	0	0	0	0	0	0.97384355	0	0	0	0	0
0.66	0	0	0	0	0	0	0.94771497	0	0	0	0	0
0.6625	0	0	0	0	0	0	0.99446153	0	0	0	0	0
0.665	0	0	0	0	0	0	0.99168235	0	0	0	0	0
0.6675	0	0	0	0	0	0	0.91280081	0	0	0	0	0
0.67	0	0	0	0	0	0	0.88038275	0	0	0	0	0
0.6725	0	0	0	0	0	0	0.84901736	0	0	0	0	0
0.675	0	0	0	0	0	0	0.91238381	0	0	0	0	0
0.6775	0	0	0	0	0	0	0.83076708	0	0	0	0	0
0.68	0	0	0	0	0	0	0.54023548	0	0	0	0	0
0.6825	0	0	0	0	0	0	0.04081515	0	0	0	0	0
0.685	0	0	0	0	0	0	0.00309126	0.000877	0	0	0	0
0.6875	0	0	0	0	0	0	0.00123649	0.02628973	0	0	0	0
0.69	0	0	0	0	0	0	0	0.43546987	0	0	0	0
0.6925	0	0	0	0	0	0	0	0.86236066	0	0	0	0
0.695	0	0	0	0	0	0	0	0.91215307	0	0	0	0
0.6975	0	0	0	0	0	0	0	0.94211747	0	0	0	0
0.7	0	0	0	0	0	0	0	0.8756679	0	0	0	0
0.7025	0	0	0	0	0	0	0	0.91252983	0	0	0	0
0.705	0	0	0	0	0	0	0	0.89339169	0	0	0	0
0.7075	0	0	0	0	0	0	0	0.91661503	0	0	0	0
0.71	0	0	0	0	0	0	0	0.97293599	0	0	0	0
0.7125	0	0	0	0	0	0	0	0.84653796	0	0	0	0
0.715	0	0	0	0	0	0	0	0.07523408	0	0	0	0
0.7175	0	0	0	0	0	0	0	0.00288925	0	0	0	0
0.72	0	0	0	0	0	0	0	0	0	0	0	0
0.7225	0	0	0	0	0	0	0	0	0	0	0	0
0.725	0	0	0	0	0	0	0	0	0.00105805	0	0	0
0.7275	0	0	0	0	0	0	0	0	0.00140366	0	0	0
0.73	0	0	0	0	0	0	0	0	0.00461673	0	0	0
0.7325	0	0	0	0	0	0	0	0	0.24620047	0	0	0
0.735	0	0	0	0	0	0	0	0	0.89751307	0	0	0
0.7375	0	0	0	0	0	0	0	0	0.92924393	0	0	0
0.74	0	0	0	0	0	0	0	0	0.98958503	0	0	0
0.7425	0	0	0	0	0	0	0	0	0.92878337	0	0	0
0.745	0	0	0	0	0	0	0	0	0.95875545	0	0	0
0.7475	0	0	0	0	0	0	0	0	0.89224514	0	0	0
0.75	0	0	0	0	0	0	0	0	0.11802044	0	0	0
0.7525	0	0	0	0	0	0	0	0	0.0023679	0	0	0
0.755	0	0	0	0	0	0	0	0	0	0	0	0
0.7575	0	0	0	0	0	0	0	0	0	0	0	0
0.76	0	0	0	0	0	0	0	0	0	0	0	0
0.7625	0	0	0	0	0	0	0	0	0	0	0	0
0.765	0	0	0	0	0	0	0	0	0	0	0	0
0.7675	0	0	0	0	0	0	0	0	0	0	0	0
0.77	0	0	0	0	0	0	0	0	0	0.0011268	0	0
0.7725	0	0	0	0	0	0	0	0	0	0.0564753	0	0
0.775	0	0	0	0	0	0	0	0	0	0.71358689	0	0
0.7775	0	0	0	0	0	0	0	0	0	0.77813753	0	0
0.78	0	0	0	0	0	0	0	0	0	0.8284738	0	0
0.7825	0	0	0	0	0	0	0	0	0	0.95738902	0	0
0.785	0	0	0	0	0	0	0	0	0	0.95984472	0	0
0.7875	0	0	0	0	0	0	0	0	0	0.97269663	0	0
0.79	0	0	0	0	0	0	0	0	0	0.35268763	0	0
0.7925	0	0	0	0	0	0	0	0	0	0.00265068	0	0
0.795	0	0	0	0	0	0	0	0	0	0	0	0
0.7975	0	0	0	0	0	0	0	0	0	0	0	0
0.8	0	0	0	0	0	0	0	0	0	0	0	0
0.8025	0	0	0	0	0	0	0	0	0	0	0	0
0.805	0	0	0	0	0	0	0	0	0	0	0	0
0.8075	0	0	0	0	0	0	0	0	0	0	0	0
0.81	0	0	0	0	0	0	0	0	0	0	0	0
0.8125	0	0	0	0	0	0	0	0	0	0	0	0
0.815	0	0	0	0	0	0	0	0	0	0	0	0
0.8175	0	0	0	0	0	0	0	0	0	0	0	0
0.82	0	0	0	0	0	0	0	0	0	0	0	0
0.8225	0	0	0	0	0	0	0	0	0	0	0	0
0.825	0	0	0	0	0	0	0	0	0	0	0	0
0.8275	0	0	0	0	0	0	0	0	0	0	0	0
0.83	0	0	0	0	0	0	0	0	0	0	0.00016097	0
0.8325	0	0	0	0	0	0	0	0	0	0	0.00120049	0
0.835	0	0	0	0	0	0	0	0	0	0	0.00151409	0
0.8375	0	0	0	0	0	0	0	0	0	0	0.00192969	0
0.84	0	0	0	0	0	0	0	0	0	0	0.00945982	0
0.8425	0	0	0	0	0	0	0	0	0	0	0.36406381	0
0.845	0	0	0	0	0	0	0	0	0	0	0.9665988	0
0.8475	0	0	0	0	0	0	0	0	0	0	0.97227225	0
0.85	0	0	0	0	0	0	0	0	0	0	0.95987079	0
0.8525	0	0	0	0	0	0	0	0	0	0	0.92065207	0
0.855	0	0	0	0	0	0	0	0	0	0	0.96183215	0
0.8575	0	0	0	0	0	0	0	0	0	0	0.94683169	0
0.86	0	0	0	0	0	0	0	0	0	0	0.85464717	0
0.8625	0	0	0	0	0	0	0	0	0	0	0.85333894	0
0.865	0	0	0	0	0	0	0	0	0	0	0.79395939	0
0.8675	0	0	0	0	0	0	0	0	0	0	0.85168115	0
0.87	0	0	0	0	0	0	0	0	0	0	0.81416748	0
0.8725	0	0	0	0	0	0	0	0	0	0	0.82482871	0
0.875	0	0	0	0	0	0	0	0	0	0	0.80056997	0
0.8775	0	0	0	0	0	0	0	0	0	0	0.8116097	0
0.88	0	0	0	0	0	0	0	0	0	0	0.59684062	0
0.8825	0	0	0	0	0	0	0	0	0	0	0.09814748	0
0.885	0	0	0	0	0	0	0	0	0	0	0.0042686	0
0.8875	0	0	0	0	0	0	0	0	0	0	0	0
0.89	0	0	0	0	0	0	0	0	0	0	0	0.00118141
0.8925	0	0	0	0	0	0	0	0	0	0	0	0.0014068
0.895	0	0	0	0	0	0	0	0	0	0	0	0.00168707
0.8975	0	0	0	0	0	0	0	0	0	0	0	0.16345538
0.9	0	0	0	0	0	0	0	0	0	0	0	0.85973804
0.9025	0	0	0	0	0	0	0	0	0	0	0	0.89458539
0.905	0	0	0	0	0	0	0	0	0	0	0	0.9144056
0.9075	0	0	0	0	0	0	0	0	0	0	0	0.90020124
0.91	0	0	0	0	0	0	0	0	0	0	0	0.90757221
0.9125	0	0	0	0	0	0	0	0	0	0	0	0.97580681
0.915	0	0	0	0	0	0	0	0	0	0	0	0.98444827
0.9175	0	0	0	0	0	0	0	0	0	0	0	0.83750189
0.92	0	0	0	0	0	0	0	0	0	0	0	0.08067734
0.9225	0	0	0	0	0	0	0	0	0	0	0	0.00230461
0.925	0	0	0	0	0	0	0	0	0	0	0	0.00133816
0.9275	0	0	0	0	0	0	0	0	0	0	0	0.0010938
0.93	0	0	0	0	0	0	0	0	0	0	0	0
0.9325	0	0	0	0	0	0	0	0	0	0	0	0
0.935	0	0	0	0	0	0	0	0	0	0	0	0
0.9375	0	0	0	0	0	0	0	0	0	0	0	0
0.94	0	0	0	0	0	0	0	0	0	0	0	0
