492.436576661317	559.849055488363	664.621752919242	704.11493622351	740.49182088627	782.752917340057	832.790411148243	864.710789243533	1613.65940666101	2202.36668717168
0.0179844	0.0283685	0.0157750	0.0421955	0.2755412	0.4553721	0.4911451	0.5100969	0.2141850	0.0764031
0.1216763	0.1544846	0.1673830	0.2060563	0.2568853	0.2774815	0.2942811	0.3041435	0.3438296	0.2923227
0.0261799	0.0489541	0.0316850	0.0728253	0.2573815	0.3461898	0.3624233	0.3706600	0.1428026	0.0679736
0.0203490	0.0406935	0.0208760	0.0601360	0.2800420	0.4000236	0.4122272	0.4177939	0.1404629	0.0515197
0.0212347	0.0409333	0.0201707	0.0635929	0.2688280	0.3745136	0.4052251	0.4219203	0.1876689	0.0685356
0.0755193	0.1047325	0.1136837	0.1551074	0.2537798	0.3027270	0.3322131	0.3492133	0.2894090	0.2225676
0.0214571	0.0506717	0.0175970	0.0769948	0.3241436	0.4561156	0.4881097	0.5049562	0.1784652	0.0581020
0.0418831	0.0589807	0.0620473	0.0884520	0.1534618	0.1854471	0.2051431	0.2165366	0.2019914	0.1400480
0.0178417	0.0314309	0.0157148	0.0463089	0.2980359	0.4947584	0.5121913	0.5198578	0.1757806	0.0571805
0.0200108	0.0365862	0.0259866	0.0555420	0.1241003	0.1491005	0.1608281	0.1673907	0.1289214	0.0719257
0.0233738	0.0519883	0.0191298	0.0797216	0.3585941	0.5099250	0.5472868	0.5671670	0.2247134	0.0790610
0.0191490	0.0363939	0.0165133	0.0556059	0.2962012	0.4567633	0.4940166	0.5138794	0.1887510	0.0627727
0.0434037	0.0794753	0.0520961	0.1129239	0.2571351	0.2984883	0.3113428	0.3185009	0.2378808	0.1339539
0.0146473	0.0236152	0.0172367	0.0354758	0.1444201	0.1950032	0.2031388	0.2075650	0.1755751	0.0895863
0.0235570	0.0618222	0.0184728	0.0915686	0.3564099	0.4699544	0.4915671	0.5028514	0.2776462	0.1229623
0.0362652	0.0650808	0.0397522	0.0976373	0.2667216	0.3242257	0.3440203	0.3549242	0.2404172	0.1211200
0.0099654	0.0198550	0.0088690	0.0294397	0.1987845	0.3467391	0.3604174	0.3666616	0.1270255	0.0452143
0.0502109	0.0958072	0.0602049	0.1315379	0.2824911	0.3190439	0.3288928	0.3344558	0.2559250	0.1490982
0.0242828	0.0581999	0.0227929	0.0813469	0.2386961	0.2801686	0.2871456	0.2909378	0.2241971	0.1107878
0.0109865	0.0254556	0.0096054	0.0380784	0.2123812	0.3365994	0.3554612	0.3647262	0.1066907	0.0361456
0.0168100	0.0507074	0.0127074	0.0720393	0.3058122	0.4440294	0.4599574	0.4675617	0.1925159	0.0809405
0.0882777	0.1156560	0.1210803	0.1635711	0.2913325	0.3439490	0.3684489	0.3823472	0.3157432	0.2276218
0.0634404	0.0904695	0.0858204	0.1306909	0.3260441	0.4098773	0.4321836	0.4445574	0.3150915	0.1967766
0.0156062	0.0293561	0.0152301	0.0430792	0.2287679	0.3327314	0.3402025	0.3430842	0.0924749	0.0302548
0.1540796	0.1803347	0.2113993	0.2369258	0.2660764	0.2848427	0.3033564	0.3142722	0.3884352	0.3510323
0.0147275	0.0326666	0.0127684	0.0484728	0.2355131	0.3326854	0.3463589	0.3531631	0.1481761	0.0543964
0.0245950	0.0730550	0.0195377	0.0981115	0.2987639	0.3579980	0.3618349	0.3634475	0.1636090	0.0622658
0.0132761	0.0324316	0.0114176	0.0476449	0.2577757	0.3864316	0.3969794	0.4019265	0.1946346	0.0814287
